Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades nº,Ar Cond.,Direção Assistida,Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro,,,,Consumo Energético (MJ/km),Classificação PBE,,Selo CONPET de Eficiência Energética
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4AT ACT",A­6,S,E,F,0,1,0,B,0,114,"7,6","8,7","11,1","12,7","1,86",D,C,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4AT LTZ",A­6,S,E,F,0,1,0,B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4MT ACT",M­6,S,E,F,0,1,0,B,0,103,"8,3","9,4","12,2","13,7","1,69",C,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4MT EFF",M­6,S,E,F,0,1,0,B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4AT ADV",A­6,S,E,F,0,1,0,B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4AT LT",A­6,S,E,F,0,1,0,B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4MT LT",M­6,S,E,F,0,1,0,B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,­
COMPACTO,CHEVROLET,Onix (MY19),1.4­8V,"1,4MT LTZ",M­6,S,E,F,0,1,0,B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,­
COMPACTO,CHEVROLET,Onix Joy (MY19),1.0­8V,10MT JOYE,M­6,S,E,F,0,1,0,B,0,96,"8,7","10,5","12,8","15,2","1,57",A,B,SIM
COMPACTO,CITROËN,DS3,1.6­16V,Sport Chic,M­6,S,E,G,0,0,0,A,\,110,\,\,"10,9","14,2","1,78",D,B,­
COMPACTO,CITROËN,C3,1.6­16V,ATTRACTION A,A­6,S,E,F,0,1,0,B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,­
COMPACTO,CITROËN,C3,1.6­16V,EXCLUSIVE A,A­6,S,E,F,0,1,0,B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,­
COMPACTO,CITROËN,C3,1.6­16V,TENDANCE A,A­6,S,E,F,0,1,0,B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,­
COMPACTO,CITROËN,C3,1.6­16V,Urban Tech,A­6,S,E,F,0,1,0,B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,­
COMPACTO,CITROËN,C3,1.2,Origine,M­5,S,E,F,0,0,0,B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM
COMPACTO,CITROËN,C3,1.2,Attraction,M­5,S,E,F,0,0,0,B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM
COMPACTO,CITROËN,C3,1.2,Tendance,M­5,S,E,F,0,0,0,B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM
COMPACTO,CITROËN,C3,1.2,M Style,M­5,S,E,F,0,0,0,B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM
COMPACTO,CITROËN,C3,1.2,Urban Tech,M­5,S,E,F,0,0,0,B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM
COMPACTO,FIAT,Argo,1.0­6V,Drive,M­5,S,E,F,0,1,0,B,0,90,"9,9","10,7","14,2","15,1","1,45",A,A,SIM
COMPACTO,FIAT,Argo,1.3­8V,Drive,M­5,S,E,F,0,0,0,B,0,98,"9,2","10,2","12,9","14,3","1,57",A,B,SIM
COMPACTO,FIAT,Argo,1.3­8V,Drive GSR,MTA­5,S,E,F,0,0,0,B,0,98,"8,9","10,0","12,7","14,4","1,60",B,B,­
COMPACTO,FIAT,Argo,1.8­16V,HGT,A­6,S,E,F,0,1,0,B,0,121,"6,9","9,1","10,0","12,8","1,96",E,C,­
COMPACTO,FIAT,Argo,1.8­16V,HGT,M­5,S,E,F,0,1,0,B,0,110,"7,8","9,2","11,4","13,3","1,79",D,B,­
COMPACTO,FIAT,Argo,1.8­16V,Precision,A­6,S,E,F,0,0,0,B,0,116,"7,1","9,5","10,1","13,2","1,91",E,C,­
COMPACTO,FIAT,Argo,1.8­16V,Precision,M­5,S,E,F,0,0,0,B,0,107,"8,0","9,6","11,5","13,8","1,74",C,B,­
COMPACTO,FIAT,Argo (2019),1.0­6V,"1,0",M­5,S,E,F,0,0,0,B,0,96,"9,1","10,4","13,0","14,7","1,55",A,B,SIM
COMPACTO,FIAT,Argo (2019),1.0­6V,Drive,M­5,S,E,F,0,0,0,B,0,96,"9,1","10,4","13,0","14,7","1,55",A,B,SIM
COMPACTO,FIAT,Argo (2019),1.3­8V,Drive,M­5,S,E,F,0,0,0,B,0,98,"8,7","10,0","12,6","14,7","1,60",B,B,­
COMPACTO,FIAT,Novo Palio,1.0­8V,Attractive,M­5,S,H,F,0,1,0,B,0,111,"7,9","9,3","11,2","13,2","1,79",D,B,­
COMPACTO,FORD,KA (5 Portas),1.0­12V,S,M­5,S,E,F,0,0,0,B,0,91,"9,2","10,8","13,5","15,7","1,49",A,B,SIM
COMPACTO,FORD,KA (5 Portas),1.0­12V,SE,M­5,S,E,F,0,0,0,B,0,91,"9,2","10,8","13,5","15,7","1,49",A,B,SIM
COMPACTO,FORD,KA (5 Portas),1.0­12V,SE Plus,M­5,S,E,F,0,0,0,B,0,93,"9,3","10,7","13,2","15,3","1,51",A,B,SIM
COMPACTO,FORD,KA (5 Portas),1.0­12V,SEL,M­5,S,E,F,0,0,0,B,0,93,"9,3","10,7","13,2","15,3","1,51",A,B,SIM
COMPACTO,FORD,KA (5 Portas),1.0­12V,Tecno,M­5,S,E,F,0,0,0,B,0,93,"9,3","10,7","13,2","15,3","1,51",A,B,SIM
COMPACTO,FORD,KA (5 Portas),1.5­16V,SE,M­5,S,E,F,0,1,0,B,0,106,"8,1","9,6","11,7","13,8","1,72",C,B,­
COMPACTO,FORD,KA (5 Portas),1.5­16V,SE Plus,M­5,S,E,F,0,1,0,B,0,106,"8,1","9,6","11,7","13,8","1,72",C,B,­
COMPACTO,FORD,KA (5 Portas),1.5­16V,SEL,M­5,S,E,F,0,1,0,B,0,106,"8,1","9,6","11,7","13,8","1,72",C,B,­
COMPACTO,FORD,KA hatch (2019),1.0­12V,S,M­5,S,E,F,0,1,0,B,0,92,"9,2","10,7","13,4","15,5","1,51",A,B,SIM
COMPACTO,FORD,KA hatch (2019),1.0­12V,SE,M­5,S,E,F,0,1,0,B,0,92,"9,2","10,7","13,4","15,5","1,51",A,B,SIM
