cod;nome;período;valor
53;DF;1997;32.66
32;ES;1997;49.63
52;GO;1997;16.04
17;TO;1997;10.36
27;AL;1998;21.65
31;MG;1998;8.84
17;TO;1998;11.64
14;RR;1998;51.4
11;RO;1998;38.71
24;RN;1998;8.46
22;PI;1998;5.16
15;PA;1998;13.42
21;MA;1998;5.19
23;CE;1998;13.49
16;AP;1998;38.02
13;AM;1998;21.18
12;AC;1998;21.4
41;PR;1998;17.55
28;SE;1998;10.39
53;DF;1998;32.91
52;GO;1998;14.84
51;MT;1998;35.68
50;MS;1998;33.57
43;RS;1998;15.45
42;SC;1998;8.23
35;SP;1998;39.64
33;RJ;1998;55.35
32;ES;1998;57.85
25;PB;1998;13.57
26;PE;1998;58.79
29;BA;1998;9.89
51;MT;1999;34.6
22;PI;1999;4.86
21;MA;1999;4.84
17;TO;1999;12.07
15;PA;1999;10.91
14;RR;1999;57.69
35;SP;1999;44.01
24;RN;1999;8.44
13;AM;1999;20.42
12;AC;1999;9.66
25;PB;1999;11.94
11;RO;1999;33.31
26;PE;1999;55.63
27;AL;1999;20.42
29;BA;1999;7.03
23;CE;1999;15.53
53;DF;1999;33.45
32;ES;1999;51.87
52;GO;1999;17.59
31;MG;1999;9.23
50;MS;1999;28.18
33;RJ;1999;52.59
42;SC;1999;7.55
16;AP;1999;43.66
28;SE;1999;19.21
43;RS;1999;15.37
41;PR;1999;18.2
16;AP;2000;34
33;RJ;2000;52.75
11;RO;2000;35.37
12;AC;2000;19.56
13;AM;2000;20.9
14;RR;2000;47.59
15;PA;2000;13.42
17;TO;2000;15.15
21;MA;2000;6.42
22;PI;2000;8.35
23;CE;2000;17.19
24;RN;2000;9.57
25;PB;2000;14.92
26;PE;2000;56.17
27;AL;2000;26.55
28;SE;2000;23.55
29;BA;2000;9.46
31;MG;2000;12.06
32;ES;2000;48.14
35;SP;2000;42.89
41;PR;2000;18.85
42;SC;2000;8.38
43;RS;2000;16.55
50;MS;2000;31.64
51;MT;2000;40.92
52;GO;2000;21.9
53;DF;2000;34.07
17;TO;2001;17.89
21;MA;2001;9.82
22;PI;2001;9.12
23;CE;2001;17.01
24;RN;2001;11.44
25;PB;2001;13.95
26;PE;2001;58.81
27;AL;2001;29.06
28;SE;2001;28.5
29;BA;2001;12.27
31;MG;2001;13.05
32;ES;2001;46.02
33;RJ;2001;50.57
35;SP;2001;41.92
41;PR;2001;21.17
42;SC;2001;8.75
43;RS;2001;17.98
50;MS;2001;29.42
52;GO;2001;22.81
53;DF;2001;33.04
51;MT;2001;38
11;RO;2001;40.7
12;AC;2001;21.07
13;AM;2001;16.72
14;RR;2001;32.02
15;PA;2001;15.23
16;AP;2001;36.49
21;MA;2002;10.44
23;CE;2002;18.88
25;PB;2002;17.37
26;PE;2002;54.37
27;AL;2002;34.32
28;SE;2002;30.12
29;BA;2002;13.2
31;MG;2002;16.32
32;ES;2002;51.35
33;RJ;2002;56.61
53;DF;2002;29.87
