;All groups of offences;All groups of offences;¬ Property theft;¬ Property theft;¬ Violence and maltreatment;¬ Violence and maltreatment;¬ Drug and alcohol offences;¬ Drug and alcohol offences;¬ Public order and integrity violations;¬ Public order and integrity violations;¬ Traffic offences;¬ Traffic offences;¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);
Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;
2017-2018;;;;;;;;;;;;;;;
Krødsherad;103;45.2;31;13.6;9;4.0;12;5.3;7;3.1;25;11.0;21;9.2;
Modum;527;38.0;94;6.8;57;4.1;74;5.3;50;3.6;80;5.8;174;12.5;
Øvre Eiker;847;44.8;222;11.7;84;4.4;169;8.9;69;3.6;134;7.1;170;9.0;
Nedre Eiker;1058;42.5;236;9.5;110;4.4;201;8.1;100;4.0;140;5.6;272;10.9;
Lier;1182;45.5;310;11.9;106;4.1;163;6.3;86;3.3;317;12.2;202;7.8;
Røyken;631;28.1;131;5.8;93;4.1;113;5.0;51;2.3;105;4.7;139;6.2;
Hurum;373;39.5;86;9.1;57;6.0;65;6.9;23;2.4;67;7.1;77;8.1;
Flesberg;72;26.8;20;7.4;7;2.6;..;..;7;2.6;21;7.8;15;5.6;
Rollag;32;22.7;..;..;..;..;5;3.5;..;..;6;4.3;13;9.2;
Nore og Uvdal;68;27.4;8;3.2;10;4.0;..;..;8;3.2;12;4.8;28;11.3;
Unknown municipalities, Buskerud;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Vestfold;13578;54.5;3640;14.6;1593;6.4;2495;10.0;1621;6.5;2029;8.1;2202;8.8;
Horten;1483;54.3;342;12.5;203;7.4;336;12.3;189;6.9;189;6.9;225;8.2;
Tønsberg;3595;79.3;1308;28.8;401;8.8;622;13.7;392;8.6;360;7.9;514;11.3;
Sandefjord;3462;55.3;896;14.3;404;6.5;589;9.4;457;7.3;520;8.3;597;9.5;
Svelvik;178;26.7;39;5.8;29;4.3;19;2.8;24;3.6;23;3.4;44;6.6;
Larvik;2641;56.4;556;11.9;306;6.5;582;12.4;285;6.1;483;10.3;430;9.2;
Sande (Vestfold);405;41.6;102;10.5;34;3.5;57;5.9;37;3.8;110;11.3;67;6.9;
Holmestrand;695;48.9;110;7.7;82;5.8;106;7.5;132;9.3;154;10.8;111;7.8;
Re;280;29.1;39;4.1;24;2.5;41;4.3;26;2.7;100;10.4;51;5.3;
Færder;836;31.3;248;9.3;110;4.1;144;5.4;81;3.0;89;3.3;166;6.2;
Unknown municipalities, Vestfold;6;..;..;..;..;..;..;..;..;..;..;..;..;..;
Telemark;10969;63.3;2893;16.7;1419;8.2;1829;10.5;980;5.7;1897;10.9;1953;11.3;
Porsgrunn;2767;76.7;774;21.4;317;8.8;452;12.5;198;5.5;590;16.3;436;12.1;
Skien;3587;65.8;1095;20.1;552;10.1;556;10.2;344;6.3;432;7.9;610;11.2;
Notodden;839;66.3;148;11.7;106;8.4;170;13.4;99;7.8;156;12.3;161;12.7;
Siljan;68;28.9;17;7.2;8;3.4;9;3.8;7;3.0;12;5.1;17;7.2;
Bamble;927;65.4;248;17.5;84;5.9;184;13.0;59;4.2;190;13.4;163;11.5;
Kragerø;772;73.5;178;16.9;91;8.7;127;12.1;96;9.1;145;13.8;137;13.0;
Drangedal;227;55.3;50;12.2;30;7.3;35;8.5;24;5.8;40;9.7;48;11.7;
Nome;313;47.4;49;7.4;51;7.7;66;10.0;28;4.2;60;9.1;61;9.2;
Bø (Telem.);358;55.4;102;15.8;53;8.2;77;11.9;29;4.5;45;7.0;53;8.2;
Sauherad;150;34.4;26;6.0;23;5.3;17;3.9;18;4.1;34;7.8;33;7.6;
Tinn;241;41.2;42;7.2;26;4.4;52;8.9;18;3.1;38;6.5;66;11.3;
Hjartdal;66;41.6;17;10.7;..;..;7;4.4;7;4.4;16;10.1;16;10.1;
Seljord;172;58.1;38;12.8;27;9.1;31;10.5;23;7.8;32;10.8;23;7.8;
Kviteseid;121;50.5;19;7.9;13;5.4;22;9.2;8;3.3;24;10.0;36;15.0;
Nissedal;61;41.0;23;15.4;7;4.7;5;3.4;6;4.0;9;6.0;12;8.1;
Fyresdal;50;37.9;16;12.1;6;4.5;6;4.5;..;..;8;6.1;11;8.3;
Tokke;67;30.0;16;7.2;6;2.7;..;..;..;..;19;8.5;20;8.9;
Vinje;187;50.4;41;11.1;19;5.1;13;3.5;14;3.8;48;12.9;54;14.6;
Unknown municipalities, Telemark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Aust-Agder;6940;59.2;1704;14.5;861;7.3;1197;10.2;753;6.4;1154;9.8;1272;10.9;
Risør;310;45.0;73;10.6;44;6.4;53;7.7;37;5.4;44;6.4;62;9.0;
Grimstad;1310;56.9;322;14.0;152;6.6;237;10.3;128;5.6;170;7.4;302;13.1;
Arendal;3198;71.6;794;17.8;400;9.0;641;14.4;373;8.4;501;11.2;489;11.0;
Gjerstad;133;53.9;18;7.3;18;7.3;19;7.7;15;6.1;41;16.6;22;8.9;
Vegårshei;82;39.3;26;12.5;7;3.4;14;6.7;..;..;17;8.1;17;8.1;
Tvedestrand;340;55.9;74;12.2;41;6.7;59;9.7;32;5.3;64;10.5;71;11.7;
Froland;259;44.7;39;6.7;33;5.7;45;7.8;33;5.7;61;10.5;49;8.5;
Lillesand;539;49.6;136;12.5;68;6.3;60;5.5;54;5.0;124;11.4;98;9.0;
Birkenes;210;40.5;62;12.0;31;6.0;19;3.7;28;5.4;27;5.2;45;8.7;
Åmli;90;48.8;24;13.0;10;5.4;14;7.6;12;6.5;17;9.2;14;7.6;
Iveland;65;48.9;15;11.3;9;6.8;8;6.0;..;..;10;7.5;19;14.3;
Evje og Hornnes;188;51.9;45;12.4;25;6.9;18;5.0;23;6.3;35;9.7;43;11.9;
Bygland;59;48.9;18;14.9;9;7.5;..;..;..;..;17;14.1;8;6.6;
Valle;80;65.3;19;15.5;10;8.2;..;..;..;..;20;16.3;26;21.2;
Bykle;81;84.6;43;44.9;7;7.3;6;6.3;6;6.3;10;10.4;10;10.4;
Unknown municipalities, Aust-Agder;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
